JC,Tretter,OL,-,True
Don,Barclay,OL,-,True
Jared,Cook,TE,-,True
Jay,Elliot,ED,-,True
Micah,Hyde,S,-,True
Datone,Jones,ED,-,True
TJ,Lang,OL,-,True
Christine,Michael,RB,-,True
Julius,Peppers,ED,-,True
Nick,Perry,ED,-,True
Joe,Thomas,LB,-,True
Jordan,Tripp,LB,-,True
AQ,Shipley,OL,-,False
Ryan,Groy,OL,-,False
Joe,Hawley,OL,-,False
Kevin,Zeitler,OL,-,False
Andrew,Norwell,OL,-,False
Ronald,Leary,OL,-,False
John,Jerry,OL,-,False
Patrick,Omameh,OL,-,False
Stefen,Wisniewski,OL,-,False
Ryan,Jensen,OL,-,False
Oday,Aboushi,OL,-,False
Brian,Schwenke,OL,-,False
Ricky,Wagner,OL,-,False
Cameron,Fleming,OL,-,False
Christopher,Hubbard,OL,-,False
Menelik,Watson,OL,-,False
Marshall,Newhouse,OL,-,False
Cornelius,Lucas,OL,-,False
Brian,Hoyer,QB,-,False
Geno,Smith,QB,-,False
Shaun,Hill,QB,-,False
Case,Keenum,QB,-,False
Jacquizz,Rodgers,RB,-,False
Terrance,West,RB,-,False
Mike,Gillislee,RB,-,False
Rex,Burkhead,RB,-,False
Latavius,Murray,RB,-,False
Isaiah,Crowell,RB,-,False
Damien,Williams,RB,-,False
Matt,Asiata,RB,-,False
Bobby,Rainey,RB,-,False
Chris,Thompson,RB,-,False
Jonathan,Grimes,RB,-,False
Ronnie,Hillman,RB,-,False
Stepfan,Taylor,RB,-,False
Danny,Woodhead,RB,-,False
Joique,Bell,RB,-,False
Travaris,Cadet,RB,-,False
Martellus,Bennett,TE,-,False
Jacob,Tamme,TE,-,False
Jack,Doyle,TE,-,False
Dominique,Jones,TE,-,False
Levine,Toilolo,TE,-,False
Mychal,Rivera,TE,-,False
Darren,Fells,TE,-,False
Jordan,Cameron,TE,-,False
Luke,Wilson,TE,-,False
Clay,Harbor,TE,-,False
MarQueis,Gray,TE,-,False
Rhett,Ellison,TE,-,False
Asante,Cleveland,TE,-,False
Dion,Simms,TE,-,False
Gavin,Escobar,TE,-,False
Pierre,Garcon,WR,-,False
Alshon,Jeffrey,WR,-,False
Taylor,Gabriel,WR,-,False
Terrelle,Pryor,WR,-,False
Dontrelle,Inman,WR,-,False
Kenny,Britt,WR,-,False
Russell,Shepard,WR,-,False
Brandon,LaFell,WR,-,False
Kendall,Wright,WR,-,False
Terrance,Williams,WR,-,False
Kenny,Stills,WR,-,False
Aldrick,Robinson,WR,-,False
Andre,Holmes,WR,-,False
Jaron,Brown,WR,-,False
Cordarrelle,Patterson,WR,-,False
Cecil,Shorts,WR,-,False
Corey,Brown,WR,-,False
Brian,Quick,WR,-,False
Marquise,Goodwin,WR,-,False
Brandon,Tate,WR,-,False
Markus,Wheaton,WR,-,False
Calais,Campbell,DL,-,False
Kawaan,Short,DL,-,False
Chris,Baker,DL,-,False
Abry,Jones,DL,-,False
Karl,Klug,DL,-,False
Stacy,McGee,DL,-,False
Dominique,Easley,DL,-,False
Alan,Branch,DL,-,False
Brandon,Williams,DL,-,False
Dontari,Poe,DL,-,False
Cam,Thomas,DL,-,False
Jarvis,Jenkins,DL,-,False
Tyson,Alualu,DL,-,False
Tyrunn,Walker,DL,-,False
Terrell,McClain,DL,-,False
Sealver,Siliga,DL,-,False
Johnathan,Hankins,DL,-,False
Kendall,Reyes,DL,-,False
Kyle,Love,DL,-,False
Bennie,Logan,DL,-,False
Sylvester,Williams,DL,-,False
Melvin,Ingram,ED,-,False
Jason,Pierre-Paul,ED,-,False
Mario,Addison,ED,-,False
Lorenzo,Alexander,ED,-,False
Jabaal,Sheard,ED,-,False
John,Simon,ED,-,False
DeMarcus,Ware,ED,-,False
Jarvis,Jones,ED,-,False
Alex,Okafor,ED,-,False
Ryan,Davis,ED,-,False
Andre,Branch,ED,-,False
Margus,Hunt,ED,-,False
Michael,Mauti,ED,-,False
Josh,Maruo,ED,-,False
Courtney,Upshaw,ED,-,False
Ethan,Westbrooks,ED,-,False
Christian,Jones,ED,-,False
Mike,Catapano,ED,-,False
AJ,Bouye,CB,-,False
Terence,Newman,CB,-,False
Morris,Claiborne,CB,-,False
Darius,Butler,CB,-,False
Trumaine,Johnson,CB,-,False
Ross,Cockrell,CB,-,False
Logan,Ryan,CB,-,False
Deshawn,Shead,CB,-,False
Prince,Amukamara,CB,-,False
Davon,House,CB,-,False
Dre,Kirkpatrick,CB,-,False
Captain,Munnerlyn,CB,-,False
Stephon,Gilmore,CB,-,False
Sterling,Moore,CB,-,False
Jurraud,Powers,CB,-,False
BW,Webb,CB,-,False
Corey,White,CB,-,False
Blidi,Wreh-Wilson,CB,-,False
Johnathan,Banks,CB,-,False
DJ,Hayden,CB,-,False
Marcus,Cooper,CB,-,False
John,Cyprien,S,-,False
Barry,Church,S,-,False
Quinton,Demps,S,-,False
Jahleel,Addae,S,-,False
JJ,Wilcox,S,-,False
Duron,Harmon,S,-,False
TJ,McDonald,S,-,False
Steven,Terrell,S,-,False
Daimion,Stafford,S,-,False
Rafael,Bush,S,-,False
Daniel,Sorenson,S,-,False
Jordan,Poyer,S,-,False
Kemal,Ishmael,S,-,False
Nate,Allen,S,-,False
Robert,Blanton,S,-,False
Baccari,Rambo,S,-,False
Matt,Elam,S,-,False
